22500 100000 75000 75000 75000 75000 70000 0 87500 49000 75000 75000 75000 75000 29000 7000 24000 10000 27500 75000 75000 75000 75000 75000 75000 0 75000 75000
DINA4 MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 null MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 MOD1 MOD2 MOD3 MOD4 DINA4 MOD3 MOD1 MOD1 MOD2 MOD1 MOD1 MOD2 MOD1 MOD1
22500 100000 75000 75000 75000 75000 70000 0 87500 49000 75000 75000 75000 75000 29000 7000 24000 10000 27500 75000 75000 75000 75000 75000 75000 0 75000 75000
DINA4 MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 null MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 MOD1 MOD2 MOD3 MOD4 DINA4 MOD3 MOD1 MOD1 MOD2 MOD1 MOD1 MOD2 MOD1 MOD1
22500 100000 75000 75000 75000 75000 70000 0 87500 49000 75000 75000 75000 75000 29000 7000 24000 10000 27500 75000 75000 75000 75000 75000 75000 0 75000 75000
DINA4 MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 null MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 MOD1 MOD2 MOD3 MOD4 DINA4 MOD3 MOD1 MOD1 MOD2 MOD1 MOD1 MOD2 MOD1 MOD1
22500 100000 75000 75000 75000 75000 70000 0 87500 49000 75000 75000 75000 75000 29000 7000 24000 10000 27500 75000 75000 75000 75000 75000 75000 0 75000 75000
DINA4 MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 null MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 MOD1 MOD2 MOD3 MOD4 DINA4 MOD3 MOD1 MOD1 MOD2 MOD1 MOD1 MOD2 MOD1 MOD1
22500 100000 75000 75000 75000 75000 70000 0 87500 49000 75000 75000 75000 75000 29000 7000 24000 10000 27500 75000 75000 75000 75000 75000 75000 0 75000 75000
DINA4 MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 null MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 MOD1 MOD2 MOD3 MOD4 DINA4 MOD3 MOD1 MOD1 MOD2 MOD1 MOD1 MOD2 MOD1 MOD1
30000 100000 75000 75000 75000 75000 70000 0 97500 63000 75000 75000 75000 75000 21000 11000 26000 10000 37500 75000 75000 75000 75000 75000 75000 0 75000 75000
DINA4 MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 null MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 MOD1 MOD2 MOD3 MOD4 DINA4 MOD3 MOD1 MOD1 MOD2 MOD1 MOD1 MOD2 MOD1 MOD1
